rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2024-03-02,154.92017747844744,154.92017747844744,0.9106686683824231,0.9221237250977029,10,0,0,0.0,9
2024-03-03,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-04,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-05,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-06,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-07,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-08,150.64073048129987,150.64073048129987,0.9112602666050561,0.9221237250977029,10,0,0,0.0,9
2024-03-09,161.18956732926858,161.18956732926858,0.9100071555013871,0.9221237250977029,10,0,0,0.0,9
2024-03-10,157.59483185166465,157.59483185166465,0.9103616878614005,0.9221237250977029,10,0,0,0.0,9
2024-03-11,162.14174428613393,162.14174428613393,0.9099226288050416,0.9221237250977029,10,0,0,0.0,9
2024-03-12,162.14174428613393,162.14174428613393,0.9099226288050416,0.9221237250977029,10,0,0,0.0,9
2024-03-13,162.14174428613393,162.14174428613393,0.9099226288050416,0.9221237250977029,10,0,0,0.0,9
2024-03-14,163.05112677302782,163.05112677302782,0.909845138396623,0.9221237250977029,10,0,0,0.0,9
2024-03-15,163.0511267730278,163.0511267730278,0.9106686683824231,0.8751072347726624,10,0,1,0.3482411450752062,10
2024-03-16,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,1,0.0,10
2024-03-17,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-18,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-19,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-20,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-21,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-22,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-23,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-24,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-25,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-26,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-27,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-28,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-29,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-30,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-03-31,155.03299926291766,155.03299926291766,1.0,0.8280907444476219,10,0,0,0.0,10
2024-04-01,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,1,0,0.4749999999999999,10
2024-04-02,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-03,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-04,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-05,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
2024-04-06,155.03299926291766,155.03299926291766,0.8712777618911448,0.8280907444476219,10,0,0,0.0,9
