rebalance_date,domain,basket_code,basket_name,basket_weight,tradable_nav,basket_level,tail_probability_weight_share,proxy_weight_share,slot_coverage_ratio,direction_balance_score,cash_weight,price_coverage_share,entries,exits,turnover,transaction_cost,rebalanced
2022-08-10,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-11,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-12,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-13,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-14,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-15,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-16,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-17,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-18,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-19,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-20,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-21,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-22,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
