rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2024-10-01,POLITICAL,ADIT-P4,US Governance,91.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2024-11-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,60.0,0.0,1.0,0.0,0.835,18.0,29.224999999999998,6.0,0.0,53.224999999999994,0.0044442875,0.22999999999999998
2024-11-01,GENERAL,ADIT-X3,Major Economy Recession,41.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2024-11-01,POLITICAL,ADIT-P3,EU Breakup Risk,41.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2024-11-01,POLITICAL,ADIT-P4,US Governance,60.0,0.0,1.0,0.0,0.065,18.0,2.275,6.0,0.0,26.275,0.0001707875,0.1643
2024-12-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,211.0,0.0,0.0,0.0,0.835,18.0,29.224999999999998,0.0,0.0,47.224999999999994,0.0039432875,0.22999999999999998
2025-01-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,89.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2025-01-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,30.0,1.0,1.0,,0.835,18.0,29.224999999999998,16.0,0.0,63.224999999999994,0.005279287499999999,0.22999999999999998
2025-01-01,GENERAL,ADIT-X3,Major Economy Recession,28.0,1.0,1.0,0.0,0.44999999999999996,18.0,15.749999999999998,16.0,0.0,49.75,0.00223875,0.22999999999999998
2025-02-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,160.875,0.375,0.5,0.0,0.7244285714285714,18.0,25.355,6.75,0.0,50.105000000000004,0.0036297493571428576,0.22999999999999998
2025-02-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,87.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2025-02-01,GENERAL,ADIT-X3,Major Economy Recession,42.25,0.0,1.0,0.0,0.835,18.0,29.224999999999998,6.0,0.0,53.224999999999994,0.0044442875,0.22999999999999998
2025-02-01,POLITICAL,ADIT-P2,EM Governance,31.0,0.0,1.0,0.0,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2025-02-01,POLITICAL,ADIT-P3,EU Breakup Risk,87.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
